BRAND,BRAND_ID,BRAND_URL,,Duplicates_note,Duplicates_note
AQAQ,56,https://logo.clearbit.com/aqaq.com,,,
Celine,54,https://logo.clearbit.com/celine.com,,,
New look,52,https://logo.clearbit.com/newlook.com,,,
7forallmankind,50,https://logo.clearbit.com/7forallmankind.com,,,
Kurt Geiger,49,https://logo.clearbit.com/kurtgeiger.com.au,,,
Fiorelli,47,https://logo.clearbit.com/fiorelli.com,,,
All Saints,44,https://logo.clearbit.com/allsaints.co.kr,,,
Park Avenue,43,https://logo.clearbit.com/parkavenue.co.in,,,
Missguided,41,https://logo.clearbit.com/missguided.eu,,,
Prada,36,https://logo.clearbit.com/prada.com,,,
Charles and keith,34,https://logo.clearbit.com/charleskeith.com,,,
Koovs,33,https://logo.clearbit.com/koovs.com,,,
Bally Shoe,30,https://logo.clearbit.com/bally.com,,,
Hackett,27,https://logo.clearbit.com/hackett.com,,,
Van Heusen,25,https://logo.clearbit.com/vanheusen.com,,,
Kenneth Cole,24,https://logo.clearbit.com/kennethcole.com,,,
Promod,23,https://logo.clearbit.com/promod.com,,,
Kipling,22,https://logo.clearbit.com/kipling.com.tr,,,
True religion,20,https://logo.clearbit.com/truereligion.com,,,
Bebe,19,https://logo.clearbit.com/bebe.com,,,
River Island,18,https://logo.clearbit.com/riverisland.com,,,
Tod's,16,https://logo.clearbit.com/tods.com,,,
Anne Klien,14,https://logo.clearbit.com/anneklein.com,,,
Freya,13,https://logo.clearbit.com/freyalingerie.com,,,
Calvin and Klein,12,https://logo.clearbit.com/calvinklein.com.br,,,
TFNC,11,https://logo.clearbit.com/tfnclondon.com,,,
Ermenegildo zegna,10,https://logo.clearbit.com/zegna.com,,,
Fendi,8,https://logo.clearbit.com/fendi.com,,,
Giorgio Armani,7,https://logo.clearbit.com/giorgioarmani.com,,,
Oasis,6,https://logo.clearbit.com/oasis-stores.com,,,
Bvlgari,5,https://logo.clearbit.com/bulgari.com,,,
BCBG Maxazria,4,https://logo.clearbit.com/bcbg.com,,,
Pepe Jeans,2,https://logo.clearbit.com/pepejeans.com,,,
Oakley,1,https://logo.clearbit.com/oakley.com,,,
